category1,body
Academic,"
			
				What is Latent Dirichlet Allocation?
In a general view, LDA is an unsupervised method for clustering documents. It models (purified) documents as bag of words. Also it assumes each word (and document) has a mixture model of topics i.e. each word (and document) may belongs to each of the topics by a probability. It takes number of clusters in the corpus as input then, simply assigns each word in each document a random topic. Then tries for
It was a very general description of LDA.

How it is work?
The process of LDA depends on the bag of words model of documents. First of all there are K topics that is input of LDA (guessed!). We have totally D documents and V distinct vocabulary in the document set. The generative process is:

For k = 1 … K:

φ(k) ∼ Dirichlet(β)


For each d in D:

Θd ∼ Dirichlet(α)
For each word wi in d

zi ∼ Discrete(θd)
wi ∼ Disctete(φ(zi))





This is the total process. But what it means?
Dirichlet
In simple words, Dirichlet is a probabilistic distribution that has K concentration parameters. Each parameter (α) is a random number greater than zero (α > 0). Following is an example of Dirichlet distribution for 20 documents with 4 topics. Parameters for this example (α1 = 10, α2 = 5, α3 = 3, and α4 = 20).

φ(k)
This is a Dirichlet distribution for the Kth topic. The φ is a KxV matrix where each element is the probability of belonging the vth word to the kth topic.

Θd
Similarly the Θd is a Dirichlet for the document d. It shows the belonging of the document to each of the topics.
Finally
The process is as below in simple words:

For each topic:

Randomly initialize belonging probability of each word in vocabulary to the topics.


For each document:

Randomly initialize belonging probability of current document to the topics.
For each word:

Choose a topic from Θd (zi)
Randomly choose a new word from φ(k) where k is the selected topic in the previous part.





The last step, helps us to find words similar to the current chosen one to be in same cluster.
In the next post, I will explore the mathematics behind the LDA. Any comments?
			
		"
Personal,"
			
				Now posts from my site will be appear on my Twitter, LinkedIn, and Telegram channel.
			
		"
Academic,"
			
				In the previous post (Latent Dirichlet Allocation),  I’ve described the LDA process and how it can be applied on documents.
In this post I will explain how the probabilities can be estimated using collapsed Gibbs sampling.
Lets start with the LDA Probabilistic Graph Model.

Where W is the sampled word from document, Z is the topic assigned by Document (d), θ is the Dirichlet distribution of d, α and β are the input of Dirichlets. More info about hyperparameters can be found this link.
So the only known variables are α, β, and w. All others (z, θ, and φ) are unknown. So based on the LDA graph we have:
p(w, z, θ, φ | α, β) = p(φ|β) p(θ|α) p(z|θ) p(w|φz)
The right side of the above conditional probability can be reached by the probabilistic graph model where each variable only depends on its parent nodes.

Inference
In LDA the we want to estimate latent variables (z, θ, and φ) based on known ones (α, β, and w). Thus we have:
p(w | α, β) can not be computed directly. So Gibbs Sampling is used to estimate latent parameters.

Collapsed Gibbs Sampling
Gibbs sampling is used to estimate p(x) = p(x1, …, xn) where there is no solution for p(x) but there are some forms of conditional probabilities. This method can be applied to LDA but there is a more simpler way to do this.
θ and φ can be calculated based on z where   and . In simple: θ is fraction words in document (d) where belong to the topic(z) and φ is the fraction of word (w) that belongs to topic (z) in the documents that w appeared in them.
So θ and φ can be out of computations. then we have to estimate: 
Bayes conditional probability rules are coming: 🙂

Likehood and prior can be calculated easily. The computation process can be done by means of Expectation of Dirichlet distribution. For more information check these slides.
			
		"
Academic,"
			
				Recently I’ve interested in byte code structure of Java and Dalvik. I’ve found some useful tools for playing with them.
Destination Byte Code
Java byte codes are simple to reverse engineering because they compile in run time. i.e. JVM will execute the byte codes in run time, thus Java code is cross platform but executes with more delay than direct compiled machine codes (for example using C++ and gcc).

Compiling from Java Source Code
Reversing Java byte codes are simpler than reversing machine codes. Oracle has a documentation about byte code in Java. In Java each source file (.java file) will be compile to a class file (.class) using the following command:
javac HelloWorld.java
This will create the HelloWorld.class file in the same folder where Java code exists. You may use Java’s default reversing tool (javap) for paying with class files.
Result of execution of javap HelloWorld.class
Compiled from ""HelloWorld.java""
public class HelloWorld {
public HelloWorld();
public static void main(java.lang.String[]);
}
If you prefer more verbose results (javap -v HelloWorld.class):
Classfile HelloWorld.class
Last modified Aug 28, 2016; size 426 bytes
MD5 checksum 90469fd7405d19947ba6e767de8a8b5f
Compiled from ""HelloWorld.java""
public class HelloWorld
SourceFile: ""HelloWorld.java""
minor version: 0
major version: 52
flags: ACC_PUBLIC, ACC_SUPER
Constant pool:
#1 = Methodref          #6.#15         //  java/lang/Object.""<init>"":()V
#2 = Fieldref           #16.#17        //  java/lang/System.out:Ljava/io/Prin
tStream;
#3 = String             #18            //  Hello World!
#4 = Methodref          #19.#20        //  java/io/PrintStream.println:(Ljava
/lang/String;)V
#5 = Class              #21            //  HelloWorld
#6 = Class              #22            //  java/lang/Object
#7 = Utf8               <init>
#8 = Utf8               ()V
#9 = Utf8               Code
#10 = Utf8               LineNumberTable
#11 = Utf8               main
#12 = Utf8               ([Ljava/lang/String;)V
#13 = Utf8               SourceFile
#14 = Utf8               HelloWorld.java
#15 = NameAndType        #7:#8          //  ""<init>"":()V
#16 = Class              #23            //  java/lang/System
#17 = NameAndType        #24:#25        //  out:Ljava/io/PrintStream;
#18 = Utf8               Hello World!
#19 = Class              #26            //  java/io/PrintStream
#20 = NameAndType        #27:#28        //  println:(Ljava/lang/String;)V
#21 = Utf8               HelloWorld
#22 = Utf8               java/lang/Object
#23 = Utf8               java/lang/System
#24 = Utf8               out
#25 = Utf8               Ljava/io/PrintStream;
#26 = Utf8               java/io/PrintStream
#27 = Utf8               println
#28 = Utf8               (Ljava/lang/String;)V
{
public HelloWorld();
descriptor: ()V
flags: ACC_PUBLIC
Code:
stack=1, locals=1, args_size=1
0: aload_0
1: invokespecial #1                  // Method java/lang/Object.""<init>
"":()V
4: return
LineNumberTable:
line 1: 0
public static void main(java.lang.String[]);
descriptor: ([Ljava/lang/String;)V
flags: ACC_PUBLIC, ACC_STATIC
Code:
stack=2, locals=1, args_size=1
0: getstatic     #2                  // Field java/lang/System.out:Ljav
a/io/PrintStream;
3: ldc           #3                  // String Hello World!
5: invokevirtual #4                  // Method java/io/PrintStream.prin
tln:(Ljava/lang/String;)V
8: return
LineNumberTable:
line 3: 0
line 4: 8
}
Reversing Byte Code
When you open the class file using hex editor, you will see some bytes.
But how javap can get all the information from these bytes? This is where reversing begins …

Each class file has the following structure:
ClassFile {
u4 magic;
u2 minor_version;
u2 major_version;
u2 constant_pool_count;
cp_info constant_pool[constant_pool_count-1];
u2 access_flags;
u2 this_class;
u2 super_class;
u2 interfaces_count;
u2 interfaces[interfaces_count];
u2 fields_count;
field_info fields[fields_count];
u2 methods_count;
method_info methods[methods_count];
u2 attributes_count;
attribute_info attributes[attributes_count];
}
We will go through the byte codes step by step. Today we analyze some basic parts:
Magic
As you see, the first bytes are ca fe ba be where java uses CAFE BABE as its magic for declaring class file.
Minor and Major
The next four bytes 00 00 (0 in decimal) and 00 34 (52 in decimal) shows the minor and major versions. I’ve compiled the code with Java SE 8, so you can’t run the code with Java SE 7.
So the minor version in 0 and major version in 52.
Constant Pool
Constant pool is where all the constants used in the class file are stored in it. the next two bytes shows the constant pool size (00 1d = 29 in decimal). The 0th item is for JMV so the items are in constant_pool[1] to constant_pool[28]
Continue Reading from secound part:

Reversing Java: Part II

			
		"
Academic,"
			
				Offsec is an Iranian computer security group which holds conferences or CTFs in the computer security area. In their recent challenge, they created a web challenge which is accessible through offsecmag Telegram channel. The challenge started on 16 Dec 2016 and here I will WRITE UP! 🙂
From: https://orig00.deviantart.net/2c10/f/2014/227/3/0/ctf__capture_the_flag____logo_by_doppleredm-d7v8iyz.jpg
In this post, the write up of the challenge is presented.

Write Up
The question was simply started with only one hyperlink.
OffSec Web CTF
Stage 1: Find the Start Point
The link points to https://offseclabs.ir/start_challenge.php. In the link, there is only some lines of texts:
OffSec Web CTF
So, It says Don’t be afraid of empty pages. We’ve started to test the common web attack interfaces:

Web App Parameters: Which there is not any parameters in start_challenge.php (The body part of HTTP Request)
Web Server Misconfiguration or Related Exploit: Which was sent in HTTP Header part. (Server is Apache/2.4.18 (Ubuntu) which there is not known vulnerability till the question period)
Web App Parameters in Header: In which cookies are the main parameters.

None of the above were inside the start_challenge.php, but the page says that do not be afraid of empty pages. So we need to find an empty page! 🙂
We’ve tested some common pages including:
http://offseclabs.ir/index.php
http://offseclabs.ir/robots.txt
http://offseclabs.ir/sitemap.xml
http://offseclabs.ir/rss/
index.php was suspicious. There was no content on the answer page. Again we’ve checked the cookies. Voila! The first stage is done. There was a cookie which will guide us!
Stage 2: Getting deeper, to the source!
The cookie was:
Always_pay_attention_to_cookies = php%7E
OffSec Web CTF
The cookie had a url encoded value. php~ was the decoded one. We have reloaded the pages with several different (and vulnerable) content. There was no change in the answer. So we’ve tired up and tried another way.
As mentioned above the server is a Linux based server. ~ in *nix based systems has two main meaning:

It is used for $HOME_DIR of the user.
It is added to the end of files which are currently editing. For example if you are editing foo.bar text file, there will be foo.bar~ hidden file on the system too!

Voila! The second stage is done. We’ve tried start_page.php~ (which returned 404 – Not Found) and index.php~ (which returned the index.php source code!) 🙂
OffSec Web CTF
Stage 3: goto /admin!
The code is clear some how. It says you send two post parameters namely (__u and __p), the web application will use __u as user name and SHA-1(__p) as password.
There are two user types: guest and admin.
The password for guest is simple to guess. SHA-1(guest) = 35675e68f4b5af7b995d9205ad0fc43842f16450
But SHA-1(admin) <> 64ef3b1ee2815ab80b0741696c41f08925b4a703
So we searched web for cracking the hash. The hash could not be cracked through common services. In the start_challenge.php, it is said to keep tying which means may be SHA-1 calculated recursively.
SHA-1(SHA-1(…(KEY)…))
We have collected a list of KEYs for the admin, including the hyper link, information from Domain, from the certificate and … We have applied SHA-1 over 1000 times on the KEY list, but no one cracked the password.
As the developer used === for comparing the results of SHA-1(__p) and ’64ef3b1ee2815ab80b0741696c41f08925b4a703′, PHP weak type vulnerability could not be applied. For more information about this vulnerability please refer to SANS Penetration Testing Website.
We’ve tested the /admin link with guest user. As we expected, the result should not be accessible by a simple guest user.
OffSec Web CTF
But there was a very interesting header in HTTP response from server.
OffSec Web CTF
The header may not control the content loaded from the domain. By default browser denies loading contents from different domains than the page’s domain. Some domains allow loading content from other domains for some usages such as loading content from CDNs. If the CDN does not check the domain correctly, it may load contents which the requester is not authorized. This vulnerability is named CORS (Cross Origin Resource Sharing). You may check detailed information from these links: Link 1     Link 2
Stage Three and Half: CORSing the admin!
In the index.php~ there is a link which is passed using __check_link GET parameter. We have created a web page for it and loaded a java script to send a request to the /admin and send back the response to us. We have passed the link to index.php and the page said that the admin will visit our link!
OffSec Web CTF
Voila! Admin visited our link and the content loaded for the admin, thus for us!
The content was the flag!
OffSec Web CTF
Because of our curiosity, we have checked some other headers. First the User Agent says that the UA is PhantomJS which is a famous headless web kit (or the admin who visited the /admin by our java script request).
The second interesting header was the IP of the admin (37.59.138.205) which is the same for offseclabs.ir, We’ve loaded the page with IP to check if offseclabs.ir is a vhost or not. It was a vhost and the returned content was:
OffSec Web CTF
As it is seen, it says lab-cors1-chall! Now we ensured that the CORS was the main challenge. Therefore the flag was:
offsec{pay_attention_to_cors_:D}
Thanks OffSec for the interesting challenge.
			
		"
Cryptocurrency,"
			
				I’m interested in movies and visit lots of movie sites. Recently I visited a site called YIFYTORRENTS in which I found a bitcoin miner in the site! In this post, I write about how I found the miner and how it acts.
BitCoin Miner 1

1-Visiting the site
I visited YIFY-Torrent.me and suddenly Firefox asked for firewall incoming connection request. The site was good looking. It has valid certificate and uses HTTPS for connection, but why it asked for firewall exception?
Bitcoin Miner 2
So I disallowed the request and continued to investigate the site.
2-Miner Found
I started to investigate the HTML source code of the site and found a bitcoin miner inside it! The picture below shows the miner code.
Bitcoin Miner 4
Further, I checked the code for the miner. It is in this link and as it is shown, it is obfuscated and started with eval command.
Bitcoin Miner 5
Bitcoin Miner 6
Checking with Addons
I also checked the site with NoCoin addon for Firefox and fortunately it could detect the miner.
Bitcoin Miner 3
Update
I’ve checked the site on 11 Mar 2018 and writing the post on 18 Mar 2018. But luckily COMODO has detected and blocked the site.
Bitcoin Miner 7
			
		"
Personal,"
			
				Barnamak WriteUp
Two weeks ago, SharifCTF was hold and the questions were acceptable. We attended with CGU team name and and gain the 44th place among the 682 attended teams, whom has at least one question solved in the CTF. In this post I described the writeup for the question about reverse engineering of Android app with 200 points (the 3rd question of reverse section).
Sharif CTF 1

The App
The app for the question is available for downloading, however, you may download  this link if you like. By the way, the task name was barnamak.
In the first step, I installed it on an emulator to watch what it wants.
adb install Find_Flag.apk
Sharif CTF 2
Sharif CTF 3
Step One
It said that “Waiting For A Lock…” and the location icon started to blink. So probably it waits for location. I gave it a try by setting a location.
Sharif CTF 4
It is OK. The app got the location.
Sharif CTF 5
I’ve pressed STEP ONE and got the message: “Please try again …”
Sharif CTF 6
So it is worth it to investigate around it. After that I decided to check the source code for the app. The famous DEX2JAR and JD-GUI helped me alot.
I’ve convert the APK to JAR file using dex2jar:
Sharif CTF 7
And opened with JD-GUI:
Sharif CTF 8
I’ve found that the piece of code when the button pressed is located in b() in com.challenge_android.fragments.ChallengeFragment.class where the code is:
Sharif CTF 9
It says j = 0x2C = 44 and i = -0x5B = -91. Then it checks the input location:
if (((int)this.location.getLatitude() == j + 1) && ((int)this.location.getLongitude() == i - 2))
Therefore, the latitude of location should be j+1 = 45 and longtitude should be i-2 = -91-2 = -93
Posting these values made a change in app. I did another thing. The app checks rootability of phone using com.challenge_android.a.c class and some things happen inside it. So I’ve changed my phone to be root. The com.challenge_android.a.c.c checks the existence of a folder named /dev/com.koushikdutta.superuser.daemon/ and I created the folder and got ROOT :).
Sharif CTF 11
 
Sharif CTF 10
Step Two
After that app suddenly closed. The final thing was omitting the application termination.
Sharif CTF 12
The noisy code was at com.challenge_android.fragments.ChallengeFragment.a() that can be bypassed by smali code injection and removing the part of code. For more information about smali code injection, you may follow my post about the subject.
Voila! The flag appeared.
Sharif CTF 13
Flag is MD5 Of Longtitude: SharifCTF{MD5(-93)} = SharifCTF{87a20a335768a82441478f655afd95fe}
			
		"
Media,"
			
				As I told in About Mir Saman section, I love classical musics. I used to listen to online classical radios which are broadcasting the musics  24×7. I was wondering how these services are working. In this post I will show you how to create an online radio broadcast station from your computer.
There are two main concepts in broadcasting live audio to the web users: Source and the Broadcaster
The concept is shown in the following figure. The source (such as Mixxx)will create raw/encoded media stream and will send it through web requests to the broadcaster (such as icecast). The broadcaster will store the stream temporary and then push it to the audiences. Audiences will download the stream from web and will pass it to a player (such as VLC) to be played.
Internet Radio1
The source will receive the voice/sound from input and stream it using PUT HTTP method to the streamer server. The streamer will buffer the received voice/sound in its buffer and will stream to whom already started downloading the stream. It is normal that audiences receive the sound/voice with 5-15 seconds delay because of buffering of streaming server (from source) and buffering in audiences (from stream server).
The delay is just like the delay of videos in YouTube or other video services before starting video play.
In this example I’m using Mixxx as the source, IceCast as the stream server and VLC as the audience client. I’m working on Ubuntu 16.04 x64 LTS as the stream server.
IceCast as the Heart (the Broadcaster)
Icecast is the heart of the Internet Radio. You can install it using the following command:
sudo apt install icecast2
Internet Radio
After installation process is done, IceCast asks you to be configured. The configuration steps with default values are shown in the following pictures:
   One of the main configuration passwords is the source password, which is used by source to authenticate itself, else every one can use your stream server to broadcast themselves. 🙂
The other password is admin password which is used to access the administrative panel of IceCast through its web interface.

All of the settings can be configured through IceCast configuration file located at /etc/icecast2/config.xml:
Configuring Mixxx
Mixxx can be installed using the following command:
sudo apt install mixxx
After that Mixxx can be run by typing mixxx in terminal or using Desktop environment:
There are two main configuration:

Microphone
Stream Server

Configuring Microphone
In Options menu, click preferences. The first item is the input/output configuration. You can select your microphone device for the input. The settings are depicted in the following figure:
Configuring Mixxx
Configuring IceCast in Mixxx
In the Options menu, click preferences. The last item is the live broadcasting settings, which is depicted in the following figure:
Configuring IceCast in Mixxx
Everything is OK. After clicking Apply/OK in configuration, Mixxx should show “Connected to the stream server successfully!” or a similar success message. Detailed configuration is described in Mixxx documentation page in this link.
Now play music in Mixxx and your audiences will receive the output of Mixxx (sound/voice).

Internet Radio using Mixxx and IceCast
Internet Radio using Mixxx and IceCast
Internet Radio using Mixxx and IceCast
Internet Radio using Mixxx and IceCast

Now it is needed to configure the audience with VLC to start streaming. Each of your clients can find a link in right top corner of the IceCast web interface named M3U and contains a link like http://YOUR-ICECAST-SERVER-IP:8000/stream
Internet Radio using Mixxx and IceCast
Start Broadcast
Copy that link and return to the VLC. Click Media > Open Network Stream and paste that link in it and click play. If you want to save the stream, just right click on the stream in the playing list, and click save > dump raw output.
Internet Radio Audience using VLC
Internet Radio Audience using VLC
Internet Radio Audience using VLC
And voila! Start broadcast your voice to the world!
			
		"
AndroJava,"
			
				This the second and final writeup of Android challenges which was given in 8st Sharif CTF. I’ve wrote about the team and place in the 8st SharifCTF Android WriteUps: Vol I. The writeup begins …
Skeleton 1

Installing Skeleton
Just like any other question, I’ve installed the app to look what it is like. The virtual device was a API19 Android emulator. As you see, the skeleton laughs at me!
Skeleton 2
And there is no other activity, button, request location, etc. appeared in the app. I should mention that this question was in MISC section.
Looking The Code
I followed the instructions in  8st SharifCTF Android WriteUps: Vol I post to investigate inside the source code of the app. Again JD GUI, Dex2Jar and APK Tool helped me.
Skeleton 3
The app has only MainActivity and inside, it loads a Scalable Vector Graphics image into the web view. SVG images are built on vectors, therefore they can be zoomed in and zoomed out without loosing the quality.
The best editor I know for editing SVG images, is Ink Scape.
The SVG
The only attack vector (if I can say) available was the SVG image. I started to investigate the SVG. Using APK Tool, I extracted the logo.svg file.
SVG Structure
SVG images are mark up files just as HTML or XML in which vectors are defined. So, I opened the logo.svg with a text editor.
Skeleton 4
As I taught, InkScape was used to make (or edit) the Skeleton.
The Writeup
I investigated more on the markup and found an interesting point. There are two graphics inside the image: one with the id layer1 and the other is text4146.
Skeleton 5
But we only see one graphics: the skeleton with some paths. The other graphics text4146 is suspicious. Therefore, I opened logo.svg with InkScape.
Skeleton 6
By moving the laughing skeleton, I’ve found text4146.
Skeleton 7
Voila, by zooming the text4146, flag is visible.
Skeleton 8
The flag is:
SharifCTF{be278492ae9b998eaebe3ca54c8000de}
Skeleton
Have fun!
			
		"
Anonymity Networks,"
			
				I recently established a wired connection into my server through my computer. I’ve mixed the protocols (OpenVPN, TOR, SOCKS) to RE-ANONIMIZE myself! I’ve put “The Good, The Bad and The Ugly” name on the scenario. Here is a very good picture of it!
Good, Bad, Ugly

The Motivation
Recently, I had some problems with my ISP in connecting my OpenVPN AS free edition on my VPS. The ISP blocked my connection to my VPN and I couldn’t find any solution to this, hence I started an investigation on this matter.
What Cause the Blocking?
Probably the ISP blocks my connection in Network layer when it sees OpenVPN protocol (or port number) in the packet. So the problem is not in the OpenVPN (the GOOD).
I must find a way to bypass the ISP
In other way, TOR is another tool for surfing the web with anonymity, but, it cause lots of problems when accessing sites such as Google, YouTube and etc. using TOR Browser.
You can run TOR and set a SOCKS proxy in your desired browser in order to pass some javascript limitations which are set in TOR BROWSER, but the problem with sites such as Google still remains, then TOR is BAD.
Therefore, TOR can be used for bypassing ISP but TOR is BAD.
The Ugly (for SOCKS)
If I could connect to my VPN Server through TOR, my exit address would be my VPN Server’s and the problem with sites such as Google would solve. It is where I’ve found Proxifier, The UGLY.
Proxifier as ProxyCap or SocksCap is a software to pass whole the traffic of the system through a proxy. And voila! It is the solution. OpenVPN itself is an application which makes a TAP driver for windows and pass the system traffic through the TAP.
The Steps

Start TOR and connect to TOR network
Start configure Proxifier for using TOR. If you use OBFS or FTE, do not forget to exclude them from proxifier to make their connection DIRECT, not through the proxy.
Start OpenVPN GUI client and connect to VPN.
Start an infinite ping and enjoy using the Internet.

Actually the speed may be slower than the direct connection, but it is good if you do not download large files.
TOR
Proxifier
OpenVPN
OpenVPN Connected
AND VOILA!
SOCKS Rocks
The steps are depicted in the following picture:
Socks Rocks
The final Remark
If you do not use vpn application after connecting to it, Proxifier will drop the connection and reconnecting cause problems. Therefore after connecting, start an infinity ping in order to make the VPN application connected.
			
		"
Anonymity Networks,"
			
				I’ve started a project named Onion Harvester for finding the Onion addresses in TOR hidden services which are not exposed by the owners. I believe that the real dark markets and interesting stuff of TOR networks relies in the dark.
DarkNet Markets

Dark Market?
I was always curious about what are the dark markets and what’s going there? If the Internet is transparent, how criminals can work over the Internet? So a search engine for TOR would be OK. But for starting a complete search engine, you must know all the addresses and the point to begin.
Motivation
After that I’ve meet with Anonymous Networks such as TOR, Invisible Internet Project, FreeNet, Tribler, and etc. And I’ve heard about Operation Onymous, which make me excited about how they found the markets Onion links. Some markets were famous such as Silk Road. But I always think that how one could find all the addresses?
The Experience
I was curious that indexed urls in famous Hidden Service Indexers such as thehiddenwiki are truly sell illegal stuffs or they are swindlers? You may use some hidden network search engines like Ahmia.fi or TORCH.
I’ve found some Onion addresses. One of them was live killing operation for killing someone online. If it was true, it would be a sin! So I opened the Onion Address and it a counter in the screen showing 3 days remain to start live torturing and killing! It asked about 0.01 BTC, I can’t remember exactly, for watching the killing operation.
After 3 days, I’ve again checked the onion address and it said that after 3 days we will kill a person live! I’ve checked the HTML source code and I’ve found that it is a simple script for displaying the counter statically. I cannot verify that the killing was done or not (I did not pay), but strongly I guess that the static script was done by a swindler.
Onion Harvester Born …
TOR Spy Services
I’ve started developing the OH project and released the first version in Dec 2017. But the speed was not satisfactory. I published the paper about the OH in APA3 Conf, Zahedan, Iran.
But I could not get the practical way to solve the issue. After that, I started to use of multiple TOR instance in a single PC instead of only one instance and the result was SUCCESSFUL!
Then I re-implemented the Onion Harvester and make it more arranged (MVP, some design patters, some improvements, use of multiple TOR instance).
You may visit the project at my GitHub repository.
Any comment or contribution is appreciated.
			
		"
AndroJava,"
			
				I’ve playing with Android CTF questions recently and found this jewelry box. One of the questions was about a numeric one way hash question named NUMDROID. The question was presented in ASIS2014 and here, I write the write-up!

Find the Numdroid Question
The question was a file of binary data. The first bytes (known as File Signatures) show that the file is a 7ziped file. Therefore I decompressed it and found the files inside compressed file.
FileType
The contents extracted from the file were parts of an APK.
Inside APK
So I zipped the files and signed by a self signed key. For more information about signing APK archives please refer to my previous post about smali code injection.
Make APK
Install is the Magic
First of all, I installed the APK in order to find what does it do. It was a screen with numpad inside and a back-OK keys.
First Attemp
Source Code is Another Magic
For the sake of the byte code, Java code is vulnerable against decompilation  techniques if no obfuscation method is used. The code was clear! I used JADX which is very good decompiler for APK files.
The Code
After a fast overview of the source code, I found that the numeric input is hashed by an algorithm inside the code and checked against a string for being verified. I highlighted the code section for hash function.
The Digest
As it is visible in the isOK function, the password’s length is 7 at maximum.
Capturing the Flag
I’ve checked the next activity which will be shown after verification process. The activity shows MD5 of input number as the flag. Therefore finding the flag is about to cracking the hash function.
There are two ways for cracking:

Crypt Analysis and finding  a way to revert the hashed string to its original value, which is not suitable for this kind of challenge.
Bruteforcing all ranges from 0 to 9999999 and calculating the hash.

I’ve select the second choice and bruteforce the range. For this aim, I’ve write a small piece of java code:
Bruteforce
And converted it to dex file in order to access its smali code.The needed tools are javac, dx and backsmali.
javac
Dexing the class
The Smali
Then I’ve injected the smali code inside the APK and put my bruteforce code inside onCreate() of the main activity. The bruteforce code will write the flag in Log of Android if the hash value is correct.
Bruteforce Smali Code
Calling the Code
Smali Code Injection
The Flag
Finally, after injection, I signed and installed the new APK on the Android Emulator and voila! the result.
Recompile
Sign the injected APK
The Flag
The Flag in Action
The code is MD5(3130110) and thus the flag is ASIS_{3C56E1ED0597056FEF0006C6D1C52463}.
			
		"
Conference,"
			
				
In this post, I’m going to write about the one day cyber-security conference which was held by Urmia University of Technology, named  Protective and Operational Security (P0SCon).







In Urmia University of Technology, we have decided to hold such a conference about cyber-security and so I was attended to Offsec group Conference 2017 in Teharn and  NOPcon2018 in Istanbul.



There I invited some people and they kindly accepted my invitation for attending and making a speech at the P0SCon2018. The conference held on 20 Aug 2018 at Urmia lake research center of Urmia University.



We had the following speaker in our conference:



Amir RasouliHossein LajevardiPouya DarabiNikita TarakanovForough FallahfarBabak Amin AzadKenan AbdullahogluAmir Kiyani



And the following speakers gave a technical session at P0SCon 2018:



Mohammad Amin KarimanMorteza Ramezan ZadehMohhamd Reza Zamiri



Contacting P0SCon



You may follow the news and other stuff of P0SCon from the main site available at: http://www.poscon.ir



And the followings are the official accounts of P0SCon:



Twitter: @p0sconInstagram: @p0sconTelegram Channel: @p0scon



 P0SCon Photos (2018)



P0SCon



Read about the conference at this link 
			
		"
IoT,"
			
				In the “Control your home IoT”, the configuration steps for controlling the home IoT system remotely, are described. In this post I will describe how to control your system graphically!

The main steps for this installation is the same as previous post, including: installing TOR and configuring hidden service.
Here I will describe remote connection using VNC. VNC stands for Virtual Network Computation and is a protocol for graphically control remote servers. Also there is a nice web GUI for VNC named noVNC. I will describe installing vnc4server as VNC server and noVNC.
Installing vnc4server
In this step, just install vnc4server in your home IoT Raspbian:
IoT Raspbian with VNC
$ sudo apt-get update
$ sudo apt-get install vnc4server
Then start the vnc4server using vnc4server command:
$ vnc4server
Then the vnc4server asks you to provide a password with maximum 8 characters.
Starting vnc4server
Installing noVNC
noVNC can be installed using apt-get. You may check this link for more documentation.
Installing noVNC
$ sudo apt-get install novnc
But I prefer launching by their code in GitHub. The commands are from this link.
$ echo y | sudo apt-get install git websockify<br /><br /><br /><br />

$ git clone git://github.com/kanaka/noVNC
Launch without WSS/SSL support:
$ ./noVNC/utils/launch.sh --vnc [IP]:[PORT]
Launch with WSS/SSL support:
$ ./launch.sh --cert /path/self.pem  --vnc [IP]:[PORT]
Cloning noVNC
And Voila! Everything is ready for fire up. Place 127.0.0.1 as IP and 5901 as PORT in the above commands.
$ ./noVNC/utils/launch.sh --vnc 127.0.0.1:5901
Starting noVNC
As you see, it will accept port 6080 from browser and will proxy the input commands to the vnc port (5901).
If you have forgot to start vnc4server, you should start it.
If you forgot the password for vnc, you can reset it by typing vncpasswd in terminal.
The final step is to add TOR hidden services.
I will add the following line to the previously configured torrc file and restart tor:
HiddenServicePort 80 127.0.0.1:6080
The sequence for remote desktop service is as follows:
IoT Raspbian with VNC – Connection Sequence
Every thing is OK. Just start Tor Browser in anywhere and type your hostname (check how to create Tor hidden service in previous post) in Tor Browser.
IoT Raspbian with VNC – noVNC
After pressing Connect button, you should insert password:
IoT Raspbian with VNC – Password
And if the password is correct, you have accessed remote desktop with VNC.
IoT Raspbian with VNC – Done
			
		"
Media,"
			
				Recently, I collected my old Hard drives (and CD/DVD writers) and packed them into my OLD Computer Case in order to create home NAS . Then I’ve installed FreeNAS on it and everything is OK. 🙂
FreeNAS is the simplest way to create a centralized and easily accessible place for your data
Following, the construction steps are presented.

Making Environment for NAS
Here a few words are written about making the environments for making a NAS with FreeNAS and most of the story is told by pictures.
The Old PC
First of all collect all your disks and put them inside your case.
FreeNAS1
FreeNAS2
FreeNAS3
Installing FreeNAS
For the installing phase, I decided to install it on a USB Stick. The following pictures shows the disks attached to the system.
FreeNAS4
FreeNAS5
Final Stage
Create pools as you like and then add disks to them. But as FreeNAS recommended, it is better that the disks in the pools be the same size.
FreeNAS9
And voila! Everything is OK! Enjoy using other features of FreeNAS such as VirtualMachine or Media Streaming even MineCraft server.
FreeNAS6
FreeNAS7
FreeNAS8
For more about funny things you can do with FreeNAS refer to 5 Fun Things to Do with FreeNAS.
FreeNAS10
			
		"
